page,year,case_name,jurisdiction,fidic_books,summary,link_label,link
23,2020,PBS Energo AS v Bester Generation UK Ltd [2020] EWHC 223 (TCC),"Technology and Construction Court, England and Wales",1999 Silver,"The Technology and Construction Court rejected a sub-contractor’s claim that it had been entitled to terminate a sub-contract based on the FIDIC Silver Book 1999, instead finding that it was the main contractor that had been entitled to terminate due to abandonment of the works by the sub- contractor. In reaching its conclusion, the court made various findings in relation to (among other things) responsibility for ground conditions, implied terms relating to performance security, whether the rejection of a valid extension of time (EOT) claim amounted to a material breach, the prevention principle in the context of abandonment of the works and whether the right to liquidated damages survived termination. Case References: Triple Point Technology Inc v PTT Public Company Ltd [2019] EWCA Civ 230, 183 ConLR 24",Link,https://www.bailii.org/cgi-bin/format.cgi?doc=/ew/cases/EWHC/TCC/2020/223.html&query=(PBS)+AND+(Energo)+AND+(AS)+AND+(v)+AND+(Bester)+AND+(Generation)+AND+(UK)+AND+(Ltd)+AND+(.2020.)+AND+(EWHC)+AND+(223)+AND+((TCC))
24,2020,"Ijm-Scl Jv v M/S National Highway Authority, 15 November 2009",High Court of Judicature at Madras,1987 Red 4th ed,Construction of a bypass. Challenges to two arbitral awards. The court found that part of the awards violiated public policy and so partially set them aside.,Link,https://indiankanoon.org/doc/197489446/
24,2019,"Archirodon Construction (Overseas) Company Limited (formerly known as Archirodon Construction (Overseas) Company S.A.) v. General Company for Ports of Iraq, ICC Case No. 21785/ZF/AYZ, Final Award, 25 November 2019","International Chamber of Commerce (ICC), Geneva",1999 Yellow,"A Final Award centring around a contract to design and construct a staging pier and breakwater for the Al Faw Grand Port in Iraq. The tribunal issued a Partial Final Award on 4 June 2019 (see below), addressing all matters except pre-award interest and costs. Archirodon, the Contractor, initially claimed pre-award interest as part of its financing charges. However, the tribunal dismissed the financing charges claim and deferred the decision on pre-award interest to a subsequent award. In the Final Award, Archirodon introduced new claims for pre-award interest based on Iraqi law and contractual provisions. The tribunal dismissed Archirodon's new claims for pre-award interest, finding them to be inadmissible and unjustified. All other claims and counterclaims were dismissed. The tribunal found in favor of Archirodon on the issue of costs but rejected their claims for pre-award interest.",Link*,https://jusmundi.com/en/document/decision/en-archirodon-construction-overseas-company-limited-v-general-company-for-ports-of-iraq-final-award-monday-25th-november-2019#decision_24134
24,2019,"Decision 11/2019/QD-PQTT, HydroChina HuaDong Engineering Corporation and China Railway 18th Bureau Group v Vinh Son – Song Hinh Hydropower JSC (14 November 2019)","People's Court Hanoi City, Vietnam","1999 Yellow, 1999 Silver","Decision setting aside an arbitral award under Vietnamese law. The case concerns construction of a hydropower plant project. The contractor (claimant) terminated the contract on the basis of delays and escalated costs, and following disagreement with the employer (respondent) on sums owning to the claimant, the latter referred the dispute to arbitration and was granted an award in its favour. The respondent filed a request to this court to set aside the award, on three grounds: (1) the tribunal's decision to change the hearing venue, thus outside of the parties' agreement; (2) the tribunal's failure to take into consideration the respondent's factual witness evidence pursuant to the IBA Rules, in violation of the arbitral procedures; and (3) tribunal was said to have failed to make its own assessment of the quantum of damages, instead it was alleged that the tribunal relied solely on the expert evidence produced by the claimants. Regarding the first ground, the court noted that the parties agreed Hanoi as the place of arbitration, as recorded in the tribunal's procedural order. However, during the course of the proceedings, the tribunal granted certain interim relief against the respondent. The respondent instituted proceedings in the Hanoi Court against the tribunal in their personal capacity, which was followed by (and the reason for) the tribunal's decision to use its discretion to change the location of the hearing to Osaka in Singapore. The court held that a change departing from the parties' agreement was sufficient to warrant setting aside the award. The second ground. Whilst the respondent filed factual witness evidence, those witnesses were not present at the hearing, and the respondent decided not to participate in the hearing. The tribunal viewed this as a general lack of cooperation in the arbitration and decided to not attach any weight to the factual witness statements. The court held that the tribunal had violated Article 56.2 of the Law on Commercial Arbitration (LCA), to settle the dispute on available documents and evidence, and by not taking into account the respondent's evidence and its application of the IBA Rules, the tribunal adversely affected the respondent's interest. The third ground. The court held that the tribunal failed to embark on its own exercise of properly assessing the quantum, in contravention of Article 46.3 of the LCA.",Link,https://congbobanan.toaan.gov.vn/2ta428188t1cvn/chi-tiet-ban-an
24,2019,"Wapcos Ltd v Salma Dam Joint Venture, 14 November 2019",Supreme Court of India,Not specified,"Concerned the right to invoke arbitration where the contract had been subsequently amended Held: it was clear from the nature of the amendment that all pending claims of the contractor, as of the date of amendment, were intended to be 'buried' and the arbitration clause could not be invoked except for claims arising out of force majeure events. The Contractor was a consortium. One member could not invoke arbitration on behalf of the consortium after its authority to do so had been specifically revoked by another member.",Link,https://indiankanoon.org/doc/130994567/
24,2019,WBHO v Nelson Mandela University and Another (2121/19) [2019] ZAECPEHC 68,High Court of South Africa,1999 Silver,"The applicant was an unsuccessful tenderer whose tender was disqualified for non-responsiveness. The project was to be a turnkey project based on the FIDIC 1999 Silver Book. The applicant had included a clause in the Contract Data of its tender permitting escalation where completion was delayed beyond May 2020 through no fault of its own and price adjustments where the contract was not awarded within 2 months of the tender submission. The respondent submitted that the applicant was seeking to introduce price adjustments specifically not contemplated by the FIDIC Silver Book and was attempting to transfer risks that the first respondent had specifically transferred to the successful bidder. The court held that the applicant’s tender did not adhere to the conditions of tender or to the tender terms. The proposal amounted to an open-ended transfer of risk to the first respondent. The first respondent acted lawfully, reasonably and procedurally fairly in its assessment of the responsiveness of all the tenders received",Link,http://www.saflii.org/cgi-bin/disp.pl?file=za/cases/ZAECPEHC/2019/68.html;query=FIDIC
24,2019,"PCVN Mechanical and Construction Company v HQ Investment and Development Company Limited, Decision number 09/2019/QD-PQTT (24 September 2019)","People's Court of Hanoi City, Vietnam",1999 Red,"Decision concerning an application to set aside an arbitral award. The requesting party contended that the award violated local laws, and that the VIAC (Vietnam International Arbitration Council) lacked jurisdiction on the basis that the parties failed to comply with the requirement to pursue amicable settlement pursuant to Sub-Clause 20. 5, instead the dispute was referred directly for arbitration (under Sub-Clause 20.6). They further asserted that the tribunal's decision relating to the cost of scaffolding fell outside the scope of contract, i.e., formed a completely separate agreement, and therefore outside of the tribunal's jurisdiction. It was further contended that the tribunal's decision regarding payment of a retained warranty (pursuant to Sub-Clauses 1.1.3.10 and 10.1) was wrong on the basis that the project was not eligible for actual completion since certain legally required tests had not been completed, and the decision was therefore not in accordance with the law. The related party opposed the application on the basis that parties deleted Sub-Clause 20.2 and 20.3 relating to DRB proceedings, and asserted that the requirement for amicable settlement pursuant to Sub-Clause 20.5 was only applicable following DRB proceedings and a decision under Sub- Clause 20.4. Accordingly, Sub-Clause 20.5 was not applicable, and the parties had the right to refer disputes directly for arbitration. In relation to the allegations of matters outside of the tribunal's jurisdiction and the warranty, the related party asserted that for the present application before court, the court could only consider the procedural aspect and not the content of the dispute as the latter had already been resolved by the tribunal. The court agreed. The court confirmed that pursuant to Sub-Clauses 20.8, the amicable settlement requirement in accordance with Sub-Clause 20.5 was only mandatory in cases where Sub-Clauses 20.2 – 20.4 were applicable. On procedural grounds, the court found that the requesting party's application failed. The issues regarding the warranty were said to fall within the content of the dispute and not within the scope when considering an application to set aside an arbitral award as this court would not entertain a re-trial as the dispute had already been resolved. The court concluded that there was no legal basis for setting aside the arbitral award.",Link,https://congbobanan.toaan.gov.vn/5ta363589t1cvn/QD_ma_hoa_PDF_2492019.pdf
24,2019,"AIA Architects Ltd Formerly Advents In House Limited v Yooshin Engineering Corporation [2019] eKLR, Civil Case No. 36 of 2019",High Court of Kenya at Mombasa,1998 White,"The plaintiff sought orders to restrain the defendant from among other things terminating the plaintiff's sub-consultancy agreement and from continuing with work using the plaintiff's designs, however altered or manipulated, and from engaging another sub-consultant, plus orders for payment of sums of money the plaintiff considered due. The project related to infrastructure at Lamu Port Manda Bay. The defendants sought an order that the court lacked jurisdiction and the matter should be referred to arbitration. The court found that there was an arbitration agreement between the parties under the Arbitration Act 1995 Laws of Kenya. The court found that as the defendant had sought to terminate the agreement incorporating the arbitration clause, there was a dispute for reference. The question was whether the defendant had acted within the time frame fixed by the law, i.e., whether the defendant's notice of preliminary objection, the only step taken by the defendant to enforce its right to the arbitration clause, was in time, by reference to section 6(1) of the Arbitration Act. The court found: that the defendant made an appearance before filing the preliminary objection and so the statutory time for insisting on the arbitration clause had passed and the defendant was deemed to have forfeited the right to insist on reference to arbitration; and that the plaintiff had established a prima facie case. The court granted the plaintiff the orders it sought.",Link,http://kenyalaw.org/caselaw/cases/view/181595
24,2019,ICC Case No. 23652/MHM,"Bucharest, Romania",1987 Red 4th ed,"Rail rehabilitation contract. Claimant contractor, Respondent employer. Claimant argued that Respondent was contractually obliged to comply forthwith with a DAB decision and asked the arbitral tribunal to order Respondent to make payments as directed by the DAB (primary claim). In the alternative, only if its primary claim failed, Claimant asked the arbitral tribunal to open up, review and confirm the DAB decision and order Respondent to pay VAT, interest and penalties as owed under the contract and the applicable law (secondary claim). Respondent argued that the claim was not arbitrable and was inadmissible, that one of the DAB decisions violated Romanian law and public policy and that the arbitral tribunal should open up, review and revise the DAB decision. The arbitral tribunal granted Claimant's primary claim so the arbitration did not need to proceed to a second phase. The arbitral tribunal considers (para 324) other cases regarding the enforcement of DAB decision. The arbitral tribunal states (para 326) that it has the power and is in fact obliged to order Respondent to abide by the DAB decision and that this result 'reached with respect to a FIDIC- based contract under Romanian law - is also consistent with the FIDIC Guidance Memorandum of 1 April 2013'.",Link*,https://jusmundi.com/en/document/decision/en-icc-case-id-no-930-saturday-1st-december-2018
24,2019,"Ganuni Construction Co Ltd v County Government of Garissa & another [2019] eKLR, Civil Suit No. 2 of 2017",High Court of Kenya at Garissa,1987 Red 4th ed,Application for a stay of court proceedings in favour of the FIDIC dispute resolution mechanisms. The court declined to stay the proceedings as the defendant had already participated in the court proceedings.,Link,http://kenyalaw.org/caselaw/cases/view/178671
24,2019,"Indeen Bio Power Limited v M/S. Efs Facilities, 24 July 2019",High Court of Delhi,Not specified,EPC contract relating to biomass plant. Appeal against arbitral award. The arbitral tribunal found that it did not have jurisdiction to hear the dispute. The court did not agree with the arbitral tribunal's conclusion that it had no juridiction and allowed the appeal.,Link,https://indiankanoon.org/doc/103810119/
25,2019,Tieso Ghana Lts Vrs Euroget De- investa Sa [2019] GHASC 38 (24 July 2019),"Supreme Court of Ghana, Accra",Not specified,"Judgment centring on a FIDIC contract for the construction of a hospital at Wa in the Upper West region between Tieso, a Sub-Contractor, and Euroget, the main Contractor. A dispute arose regarding payments for work done, and Euroget terminated the contract. The main issue before the court related to the Dispute Adjudication Board (DAB) and international arbitration provisions. The parties initially agreed on a joint valuation of the work done. A dispute arose regarding payments for the work done, which was then referred to a DAB. The DAB largely confirmed the valuation, after which Euroget issued a Notice of Dissatisfaction (NOD) with the DAB's decision. Tieso sought to enforce the DAB's decision as a final judgment. The High Court and the Court of Appeal both rejected this, ruling that the DAB's decision was not a final arbitral award and that the NOD triggered the next stage of dispute resolution: international arbitration. Tieso appealed these decisions to the Supreme Court. The Supreme Court affirmed that the DAB process was not an arbitration; the ""FIDIC Rules"" explicitly stated that the DAB was not acting as arbitrators. The Court held that the DAB decision was not final and binding, as Euroget had issued a valid NOD as per the contract. The Court ruled that it was not an error to refer the dispute to international arbitration; the contract mandated international arbitration upon a valid NOD. The Supreme Court dismissed the appeal, upholding the multi-tiered contractual dispute resolution process, emphasizing that the DAB's decision was an intermediate step, not a final arbitral award, and that the parties were bound by their agreement to proceed to international arbitration.",Link,https://ghalii.org/akn/gh/judgment/ghasc/2019/38/eng@2019-07-24
25,2019,"Gammon India Limited v National Highways Authority of India, 2 July 2019",High Court of Delhi,Not specified,"Contract for road widening project. Referral to DRB for recommendations and then to arbitration. Challenges to arbitral award. The court rejected the challenges. The court urged the NHAI not to challenge awards unless there was a reasonable chance of success, noting the public funds involved",Link,https://indiankanoon.org/doc/152370684/
25,2019,Group Five Construction (Pty) Ltd v Transnet SOC Limited (45879/2018) [2019] ZAGPJHC 328 (28 June 2019),"South Gauteng High Court, Johannesburg, South Africa",NEC,"The contract in this case was not FIDIC but NEC 3. However, for the purposes of this table, the case is considered instructive in relation to time limits for adjudicator decisions. Following a dispute between the parties an adjudicator was appointed. The adjudicator’s determination was due after an exchange of documents between the parties and within four weeks of the end of the period of received information (which was 29 June 2018). The adjudicator requested an extension of time for his decision (which was due 27 July 2018). This was refused by Transnet but agreed by Group Five. Even though both parties had not consented, the adjudicator continued with the adjudication and finally published his determination on 18 September 2018. Group Five applied to the High Court for an order to give effect to the adjudicator’s determination. Transnet resisted. The court found that the contract failed to stipulate what would happen if the parties failed to agree to an extension and considered that the requirement for parties’ consent was to give them some control over the process. The court held that the adjudicator was not competent to proceed beyond the initial deadline in the absence of both parties’ consent and, accordingly, the determination was late, in breach of the terms of the contract, and was not binding or enforceable.",Link,http://www.saflii.org.za/za/cases/ZAGPJHC/2019/328.html
25,2019,"Archirodon Construction (Overseas) Company Limited (formerly known as Archirodon Construction (Overseas) Company S.A.) v. General Company for Ports of Iraq, ICC Case No. 21785/ZF/AYZ, Partial Final Award, 4 June 2019","International Chamber of Commerce (ICC), Geneva",1999 Yellow,"This is a Partial Award centring around a contract to design and construct a staging pier and breakwater for the Al Faw Grand Port in Iraq. See above for Final Award. The contract required Archirodon, as the Contractor, to complete the project within 18 months and stipulated various circumstances under which Archirodon could recover additional costs and extensions of time for completion. Archirodon sought extensions of time and reimbursements due to unexpected obstacles such as access road issues, soil conditions, and ISIS attacks. The Respondent denied these and imposed contractual penalties. The tribunal partially ruled in favor of Archirodon, awarding damages for unforeseen soil conditions but rejected the claims related to road access and ISIS attacks. The tribunal also awarded prolongation costs and expenses related to a letter of credit.",Link*,https://jusmundi.com/en/document/decision/en-archirodon-construction-overseas-company-limited-v-general-company-for-ports-of-iraq-partial-final-award-tuesday-4th-june-2019#decision_24136
25,2019,Zillion Investment Holding (Pty) Ltd v Salz-Gossow (Pty) Ltd (SA 17/2017) [2019] NASC 10 (17 April 2019); (Case No. SA 17/2017),Supreme Court of Namibia,1999 Red,"DAB terms in the Contract were unaltered DAB ordered Zillion to pay Salz-Gossow an amount of money. Zillion submitted an NOD after the DAB's decision and did not pay as ordered Salz-Gossow brought a court application seeking implementation of the DAB's decision. Zillion opposed this application on the basis that the NOD suspended the operation of DAB's decision. Zillion argued that the Court should not exercise its discretion to order Specific Performance. Zillion brought a counter application to the Court to set aside the DAB's decision as the main relief. CFI Held: The Court granted Salz-Gossow's application finding that, pending the arbitration, the ruling of the DAB needed to be complied with and that there was no reason why specific performance should not be granted as contemplated in the agreement. The Court made an Order for the amount to be paid to the Salz-Gossow and dismissed the counter application of Zillion. Zillion appealed the decision of the High Court. The Appeal was for the invalidity of the DAB decision on the following grounds: 1) Zillion could not afford the amount determined and, as the contentions were more legal than factual, the Court should assume jurisdiction; and 2) as to the awarded interest amount in the DAB's decision - applying the 'Reasonable Man' test, the decision was 'unreasonable, improper, irregular and wrong, leading to 'patently inequitable' result and 'unjust evaluation' and should be set aside. SC Held: Zillion's financial position was such that it had never been unable to pay the amount determined by the DAB. For the purpose of the application to stay, Zillion attempted to make out a case that raising finance to pay the amount determined by the DAB would prejudice them in the project, whereas the real prejudice would be that they would not be able to recoup the amount from Salz-Gossow, should they be successful in the arbitration proceedings. The SC upheld the DAB decision.",Link,https://namiblii.org/na/judgment/supreme-court/2019/10
25,2019,Maeda Corporation and China State Construction Engineering (Hong Kong) Ltd v Bauer Hong Kong Ltd [2019] HKCFI 916,Hong Kong High Court,Similar Notice Provisions to FIDIC 2017,"The Claimant MCSJV (Main Contractor) was granted leave to appeal the Arbitral Tribunal's (AT) Award. The point of appeal was related to the validity of a contractual notice. MCSJV subcontracted with Bauer. During the course of the work, unforeseeable ground conditions were established and Bauer had to do additional excavation. Bauer, having experienced difficulties with the ground conditions, proceeded with the extra work required without securing an instruction first. Later, Bauer gave notice of its loss and expense entitlement, referring specifically to the variation, being the additional excavation. In its notice, It did not refer to an entitlement arising under the ground conditions provision. Disputes arose and the matter was referred to arbitration. Bauer submitted its claim on two alternative bases: both as a variation and as a ground conditions claim. AT observed that the circumstances gave rise to a valid ground conditions claim but there was no notice issued to the Engineer, describing the ground conditions and reasons why they should be considered unforeseeable. Bauer had not given notice under clause 21 of his contract by reference to the event (similar to the requirements of Clause 4.12.1 of FIDIC Red 2017 [Contractor's Notice] and increase in cost of the execution of the works. Considering the facts, AT said that it had no entitlement to be paid as a variation because no instruction had been issued, however decided that the notice Bauer had given was equally valid as a notice based on unforeseen ground conditions and that fact that Bauer had made its claim on the basis of a Variation did not preclude it from making a claim on a new legal basis. The costs awarded by the AT included the standby costs of plant and equipment MCSJV appealed the AT's second interim award on points of law and claimed that the AT had included sums in the evaluation that had not actually been incurred by Bauer. Held: The AT's conclusion failed to give effect to the express wording of Clause 21 (similar to clause 4.12.1 FIDIC 2017) and that the AT did not misdirect itself in regards to awarded costs as it had received and considered evidence before making its valuation of a fair and reasonable price.",Link,https://www.hklii.org/eng/hk/cases/hkcfi/2019/916.html
25,2019,"Republic of the Philippines, represented by the Department of Public Works and Highways (DPWH) v. Roguza Development Corporation, GR No. 199705, 3 April 2019","Supreme Court Philippines, Baguio",Not specified,Appeal against lower court decisions concerning an arbitral award issued in respect of a dispute about a road rehabilitation project. The project was commenced but suspended because of right of way problems. The suspension lasted 32 months meaning that the project completed late. The contractor made monetary claims under the contract regarding this suspension. The contractor argued that it was constrained to accept payment from the employer of a lower amount than claimed because of financial distress it was suffering which was aggravated by the length of time that had elapsed since the claim was made and the employer made its offer. The contractor commenced arbitral proceedings for the original claimed amount. The arbitral tribunal found the that contractor had established that it was in financial distress at the time the employer offered to pay the reduced amount and that it was constrained to accept the offer (the 'letter-waiver') to facilitate payment. The arbitral tribunal declared the 'letter-waiver' to be 'inefficacious' and awarded the contractor some of the additional sums claimed. There followed numerous conflicting court decisions regarding the arbitral award. The Supreme Court noted that the existence of conflicting decisions appeared to result from failure by the contractor's counsel to disclose the identity of the parties and issues in two of the court cases. The Supreme Court found that elements of res judicata existed and granted the appeal against certain of the lower court decisions.,Link,https://lawphil.net/judjuris/juri2019/apr2019/gr_199705_2019.html
25,2019,Joint Venture Between Aveng (Africa) Pty Ltd and Strabag International GmbH v South African National Roads Agency Soc Ltd and Another (8331/19) [2019] ZAGPPHC 97; [2019] 3 All SA 186 (GP) (22 March 2019),South Africa,1999 Red,"A contract for construction of river bridge was awarded by SANRAL to ASJV. ASJV provided SANRAL with Performance Guarantees (PG). During the course of the project the parties agreed to suspend the Works due to violent protests enacted by a local radical group. Eventually ASJV delivered a notice of termination for having been prevented from executing the works for a continuous period of 84 days by reason of force majeure. ASJV also requested that SANRAL undertake not to make a demand on the PG without giving 14 days notice as they were only allowed to make a demand under the provisions of Clause 4.2 of the Contract. SANRAL disputed ASJV's right to terminate the contract and did not agree that the protests constituted force majeure. It also argued that it was the law that the PG must be paid and the parties may consider entitlement at a later stage. Held: The Court held on the evidence before it that the protests did not constitute force majeure. Accordingly, SANRAL was justified in accepting ASJV's actions as repudiatory and presenting the PG for payment.",Link,http://www.saflii.org/za/cases/ZAGPPHC/2019/97.html
25,2019,"The Municipal Corporation of Greater Mumbai v Angerlehner Structural and Civil Engineering Company, 27 February 2019",Bombay High Court,1987 Red 4th ed,Payment disputes. Lump sum v remeasurable contract. Whether additional quantities caused by contractor's construction methodology and design. Extra quantities not a result of a variation but actual quantities over and above those stated in the BOQ. Additional quantities were not caused by the contractor's construction methodology or design. Arbitration award upheld.,Link,https://indiankanoon.org/doc/44349250/
26,2019,Dubai Court of Appeal Case No. 32/2019,Dubai Court of Appeal,1987 Red 4th ed,Failure to comply with pre-arbitral conditions. Annulment of tribunal's affirmative award on jurisdiction.,Link*,http://arbitrationblog.practicallaw.com/article-19-of-the-uae-federal-arbitration-law-a-first-test/
26,2019,"M/S National Highways Authority v M/S Sunway Construction Sdn Bhd, 22 January 2019",New Delhi High Court,1987 Red 4th ed,Price adjustment and toll tax disputes. 1) Whether excise duty exemption on the cost of materials was to be included while calculating and determining the price adjustment for bitumen and fuel. Held: the excise duty should not be included in the valuation. 2) Whether contractor was entitled to reimbursement of toll tax as a result of failure by employer to hand over a bridge on which the contractor was working. Held: The contractor should have full access to the bridge. There was no stipulation in the contract that the toll had to be paid by the contractor.,Link,https://indiankanoon.org/doc/44201217/
26,2018,Steenkampskraal Holding Ltd v (1) Eres Engineering Projects (Pty) Ltd; (2) Vincent Raphael Mora; (3) Jan Albert Dreyer [2018],"High Court of South Africa, Pretoria, Case No. 10906/2013",Not specified,"A Fixed Price Contract varied to three times its Original Contract Sum through variations. The Claimant claimed rescission or alternatively cancellation of the two Contracts entered into with the first Respondent as it was alleged that both were awarded and appointed as a result of bribery. It was found that two of the Respondents colluded to fraudulently inflate supplier's invoices and as such false and overpriced invoices were paid to them. The First Respondent submitted a counterclaim for 2 unpaid invoices. The Contract contained DAB and Arbitration clauses, however, the Parties agreed to take the matter to the Court. Held: The Court was convinced that the Claimant had proved commercial bribery and that both contracts were lawfully rescinded On the restitution point, the Court declined to order repayment of the total amount payed by the Claimant with interest and declined to order the amount claimed in the alternative as well, on the basis of Claimant's admission that work for the value of ""millions of Rands was done"".",Link,http://www.saflii.org/za/cases/ZAGPPHC/2018/852.html
26,2018,Machira Limited v China Wu Yi Limited & Another [2018] eKLR Civil Suit No. 213 of 2016,"High Court of Kenya, Nairobi",1987 Red 4th ed,"The Employer and Applicant in this case (KNHA) contracted the Respondent (China Wu Yi Limited). The Respondent (China Wu Yi Limited) subcontracted with Machira Limited (the Claimant in this case). Upon completion of the works, China Wu Yi Limited issued the statement of final account for evaluation to the Engineer, who verified and certified the same. The certificate was then forwarded to the Applicant to settle. The Applicant claimed that during the preparation of the statement of final account the Contractor excluded the work done by subcontractor Machira. Machira then issued court proceedings against China Wu Yi for recovery of the unpaid sums. China Wu Yi was granted leave to issue a Third Party Notice against KNHA. KNHA argued that it only became aware of the dispute upon being served with the pleadings and argued further that the Machira suit against China Wu Yi was premature for failure to exhaust all available dispute resolution mechanisms in the contract. KNHA asserted that clause 67 (Settlement of Disputes) of the contract executed between China Wu Yi and KNHA provided an elaborate dispute resolution mechanism whereby disputes between China Wu Yi and KNHA were to be referred to the Engineer in the first instance. Furthermore, KNHA contended that China Wu Yi failed to adhere to the mandatory statutory provisions to serve KNHA with one month’s notice outlining its claim. Finally, KNHA submitted that China Wu Yi's claim was statute barred since an action against KNHA had to be instituted within twelve months after the default complained of. KNHA therefore applied to stay the proceedings, subject to arbitration. Held: China Wu Yi's claim was not statute barred KNHA could not use a Preliminary objection to stay the proceedings and the Court declined to stay the proceedings.",Link,http://kenyalaw.org/caselaw/cases/view/162630
26,2018,"M/S National Highways Authority vs M/S Itd-Sdb(Jv) on 31 October, 2018, OMP 622/2014",High Court of Delhi at New Delhi,Not specified,Challenge to an arbitral award (which followed a DRB decision). Disputed: 1) Refund of liquidated damages; 2) Payment for ground investigation; 3) Payment of withheld certified amount; 4) Interest. Arbitral award upheld.,Link,https://indiankanoon.org/doc/95404660/
26,2018,Republic v Engineers Board of Kenya ex parte Godfrey Ajoung Okumu [107 of 2018] eKLR,"High Court of Kenya, Nairobi",Gold (Year not specified),"The Applicant (Consulting Engineer) entered into a design only contract with a Main Contractor for the construction of a bridge. The bridge later collapsed. The Applicant claimed that under the contract he did not have any supervisory responsibilities. The Main Contractor accepted the fault and began the rectification work. The Engineers Board of Kenya commissioned an inquiry into the collapse. The inquiry claimed that the Applicant failed to provide adequate design and sufficient information as stipulated under the Contract under which the Engineer, who designs the drawings, has a duty to ensure that he supervises his drawings until completion of the project, hence, the ex parte applicant was negligent in failing to supervise his drawings and thus he breached clauses 6.8 and 6.10 of FIDIC.",Link,http://kenyalaw.org/caselaw/cases/view/161429
26,2018,"Republic v Engineers Board of Kenya Ex-Parte Oliver Collins Wanyama Khabure [2018] eKLR, Misc. Civil Application No. 108 of 2018",High Court of Kenya at Nairobi,Not specified,First instance decision; judicial review of decision of the Engineer's Board of Kenya regarding a bridge collapse. This decision was overturned on appeal; see Court of Appeal decision in Godfrey Ajoung Okumu & Another (Civil Appeal No. 89 of 2019).,Link,http://kenyalaw.org/caselaw/cases/view/161384
26,2018,Zenith Steel Fabricators Limited v Continental Builders Limited & another [2018] eKLR Civil Appeal No. 111 of 2010,In the Court of Appeal at Nairobi,Not specified,"Appeal concerned three issues: (1) the true meaning of a nominated Sub-Contractor in the context of the building construction industry; (2) who between the Employer and the main Contractor is bound to pay the sub-contractor; and (3) whether there was privity of contract between the Employer and Sub-contractor. The court held that the Contractor appointed the Sub-Contractor and was consequentially liable for the payments due to it, and that there was no privity of contract between the Employer and Sub-Contractor. Appeal upheld and the judgment of the lower court was set aside and substituted. There was no formal contract but the judge made reference to FIDIC contracts.",Link,http://kenyalaw.org/caselaw/cases/view/161928
26,2018,Teichmann Structures (Pty) Ltd v (1) Hollard Insurance Company Ltd (2) ELB Engineering Services (Pty) Ltd [2018],"High Court of South Africa, Johannesburg Case No.. 24233/18",1999 Red 4th ed,"The Main Contractor (Respondent) provided 3 Advanced Payments (AP) to the Subcontractor (Claimant). Two of them were secured by a Performance Guarantee (PG) and recovered through the IPC mechanism. The 3rd AP was unsecured. The Main Contractor issued a demand to the bank. The Subcontractor brought an urgent application seeking an order stopping the bank from making the payment. As the PG was unconditional, the only ground on which the bank could deny the call was fraud. The Subcontractor therefore claimed that the bond was called fraudulently. It claimed that the Main Contractor had recovered the entire amount of the APs secured by the PG. It conceded that the outstanding amount was not secured and should be treated as a loan as it was a transaction entirely separate from the building contract, to be recouped through either the certification process or through the Final Account. Held: The Court found in favour of the Main Contractor because: 1) The IPC made no distinction between secured and unsecured PGs in the section ""Repayment of Advance Payments"" thus indicating that the Parties treated all Advance Payments as made under the Contract and not outside and 2) The Claimant did not put forward any evidence to prove an agreement that the outstanding amount was to be treated as an unsecured loan.",Link,http://www.saflii.org/za/cases/ZAGPJHC/2018/569.html#_ftn12
26,2018,Entes Industrial Plants Construction and Erection Contracting Co. Inc v The Ministry of Transport and Communications of the Kyrgyz Republic,US District Court for District of Columbia,Not specified,"The Petitioner (Entes) sought an order from the Court to enforce an Arbitral Award which included an award of costs plus post-judgment interest at statutory rate by the Respondent (Ministry), pursuant to the NY Convention. The Arbitration was filed under the UNCITRAL Rules over the cost of delays, design changes, additional work and late instructions by the Respondent and their inability “to make important decisions” because of the country’s April Revolution. The Ministry counterclaimed its legal fees. The AT rendered its Award, unanimously finding that Entes was owed compensation for the extended timeframe of the Works project plus interest. Held: The Court granted the Petition on the basis that: 1) all statutory conditions for confirmation and enforcement were satisfied; and 2) none of the limited grounds for refusal to confirm exist. 'Confirmation proceedings under the NY Convention are summary in nature, and the court must grant the confirmation unless it finds that the arbitration suffers from one of the defects listed in the Convention.'",Link,https://www.courtlistener.com/recap/gov.uscourts.dcd.200389/gov.uscourts.dcd.200389.1.0_1.pdf
